"close-popup href","product-info","sutitle-product-popup","description","product-info 2","product-info href","old-price","new-price","inc-tax","variants","down","up","btn","btn href","btn 2","btn 3","unavailable-product-popup","productlabel","img href","first src","product-fancy href","title","grid-cell href","old-price 2","new-price 2","price href 2","inc-tax 2"
"javascript:;","NE Pinnacle Royal/White Jacket","has been added to your shopping cart","ONLINE EXCLUSIVE","More info","https://www.thebomberstore.com/ne-pinnacle-royal-white-jacket.html","C$152.99","C$139.99","(C$139.99 Incl. tax)","Make a choice","-","+","Add to cart","javascript:;","Continue shopping","View cart","Out of stock","","","","","","","","","",""
"","","","","","","C$152.99","C$139.99","(C$139.99 Incl. tax)","","","","+ Add to cart","https://www.thebomberstore.com/collection/offers/#product-popup-62258650","+","","","-8%","https://www.thebomberstore.com/ne-pinnacle-royal-white-jacket.html","https://cdn.shoplightspeed.com/shops/629769/files/63049612/500x350x2/new-era-ne-pinnacle-royal-white-jacket.jpg","https://cdn.shoplightspeed.com/shops/629769/files/63049612/image.jpg","NE Pinnacle Royal/White Jacket","https://www.thebomberstore.com/account/wishlistAdd/62258650/?variant_id=103900024","C$152.99","C$139.99","https://www.thebomberstore.com/service/shipping-returns/","(C$139.99 Incl. tax)"
"javascript:;","NE SL Men's Aim Royal Pants","has been added to your shopping cart","ONLINE EXCLUSIVE","More info","https://www.thebomberstore.com/ne-sl-mens-aim-royal-pants.html","C$84.99","C$63.99","(C$63.99 Incl. tax)","Make a choice","-","+","Add to cart","javascript:;","Continue shopping","View cart","Out of stock","","","","","","","","","",""
"","","","","","","C$84.99","C$63.99","(C$63.99 Incl. tax)","","","","+ Add to cart","https://www.thebomberstore.com/collection/offers/#product-popup-62054679","+","","","-25%","https://www.thebomberstore.com/ne-sl-mens-aim-royal-pants.html","https://cdn.shoplightspeed.com/shops/629769/files/63050098/500x350x2/new-era-ne-sl-mens-aim-royal-pants.jpg","https://cdn.shoplightspeed.com/shops/629769/files/63050098/image.jpg","NE SL Men's Aim Royal Pants","https://www.thebomberstore.com/account/wishlistAdd/62054679/?variant_id=103534619","C$84.99","C$63.99","https://www.thebomberstore.com/service/shipping-returns/","(C$63.99 Incl. tax)"
"javascript:;","NE SL Men's Merit Royal Crew","has been added to your shopping cart","ONLINE EXCLUSIVE","More info","https://www.thebomberstore.com/ne-sl-mens-merit-royal-crew.html","C$99.99","C$74.99","(C$74.99 Incl. tax)","Make a choice","-","+","Add to cart","javascript:;","Continue shopping","View cart","Out of stock","","","","","","","","","",""
"","","","","","","C$99.99","C$74.99","(C$74.99 Incl. tax)","","","","+ Add to cart","https://www.thebomberstore.com/collection/offers/#product-popup-62053985","+","","","-25%","https://www.thebomberstore.com/ne-sl-mens-merit-royal-crew.html","https://cdn.shoplightspeed.com/shops/629769/files/63049676/500x350x2/new-era-ne-sl-mens-merit-royal-crew.jpg","https://cdn.shoplightspeed.com/shops/629769/files/63049676/image.jpg","NE SL Men's Merit Royal Crew","https://www.thebomberstore.com/account/wishlistAdd/62053985/?variant_id=103533718","C$99.99","C$74.99","https://www.thebomberstore.com/service/shipping-returns/","(C$74.99 Incl. tax)"
"javascript:;","NE SL Women's Megan LC Royal Tee","has been added to your shopping cart","ONLINE EXCLUSIVE","More info","https://www.thebomberstore.com/ne-sl-womens-megan-lc-royal-tee.html","C$46.99","C$35.99","(C$35.99 Incl. tax)","Make a choice","-","+","Add to cart","javascript:;","Continue shopping","View cart","Out of stock","","","","","","","","","",""
"","","","","","","C$46.99","C$35.99","(C$35.99 Incl. tax)","","","","+ Add to cart","https://www.thebomberstore.com/collection/offers/#product-popup-62048450","+","","","-23%","https://www.thebomberstore.com/ne-sl-womens-megan-lc-royal-tee.html","https://cdn.shoplightspeed.com/shops/629769/files/63050255/500x350x2/new-era-ne-sl-womens-megan-lc-royal-tee.jpg","https://cdn.shoplightspeed.com/shops/629769/files/63050255/image.jpg","NE SL Women's Megan LC Royal Tee","https://www.thebomberstore.com/account/wishlistAdd/62048450/?variant_id=103525123","C$46.99","C$35.99","https://www.thebomberstore.com/service/shipping-returns/","(C$35.99 Incl. tax)"
"javascript:;","NE SL Men's Hybrid Royal/Gold Vest","has been added to your shopping cart","ONLINE EXCLUSIVE","More info","https://www.thebomberstore.com/copy-of-ne-sl-mens-edge-royal-1-4-zip.html","C$139.99","C$104.99","(C$104.99 Incl. tax)","Make a choice","-","+","Add to cart","javascript:;","Continue shopping","View cart","Out of stock","","","","","","","","","",""
"","","","","","","C$139.99","C$104.99","(C$104.99 Incl. tax)","","","","+ Add to cart","https://www.thebomberstore.com/collection/offers/#product-popup-62047076","+","","","-25%","https://www.thebomberstore.com/copy-of-ne-sl-mens-edge-royal-1-4-zip.html","https://cdn.shoplightspeed.com/shops/629769/files/63049755/500x350x2/new-era-ne-sl-mens-hybrid-royal-gold-vest.jpg","https://cdn.shoplightspeed.com/shops/629769/files/63049755/image.jpg","NE SL Men's Hybrid Royal/Gold Vest","https://www.thebomberstore.com/account/wishlistAdd/62047076/?variant_id=103522257","C$139.99","C$104.99","https://www.thebomberstore.com/service/shipping-returns/","(C$104.99 Incl. tax)"
